title,imdb_id,content_type,platform,platform_group,monetization,presentation,region,imdb_rating,year,genre_primary,vote_weighted_score,content_type_titles,is_recent
The Shawshank Redemption,tt0111161,movie,Apple TV Store,Other,rent,hd,IN,9.3,1994,Period Drama,9.3,movie,0
The Shawshank Redemption,tt0111161,movie,Google Play Movies,Other,rent,hd,IN,9.3,1994,Period Drama,9.3,movie,0
The Shawshank Redemption,tt0111161,movie,YouTube,Other,rent,hd,IN,9.3,1994,Period Drama,9.3,movie,0
The Shawshank Redemption,tt0111161,movie,Amazon Video,Other,rent,hd,IN,9.3,1994,Period Drama,9.3,movie,0
The Godfather,tt0068646,movie,Amazon Prime Video,Amazon Prime Video,flatrate,hd,IN,9.2,1972,Epic,9.2,movie,0
The Godfather,tt0068646,movie,JioHotstar,Other,flatrate,hd,IN,9.2,1972,Epic,9.2,movie,0
The Godfather,tt0068646,movie,Amazon Prime Video with Ads,Other,flatrate,hd,IN,9.2,1972,Epic,9.2,movie,0
The Godfather,tt0068646,movie,Apple TV Store,Other,rent,hd,IN,9.2,1972,Epic,9.2,movie,0
The Godfather,tt0068646,movie,Google Play Movies,Other,rent,hd,IN,9.2,1972,Epic,9.2,movie,0
The Godfather,tt0068646,movie,YouTube,Other,rent,hd,IN,9.2,1972,Epic,9.2,movie,0
The Godfather,tt0068646,movie,Amazon Video,Other,rent,hd,IN,9.2,1972,Epic,9.2,movie,0
The Dark Knight,tt0468569,movie,Amazon Prime Video,Amazon Prime Video,flatrate,hd,IN,9.1,2008,Action Epic,9.1,movie,0
The Dark Knight,tt0468569,movie,JioHotstar,Other,flatrate,hd,IN,9.1,2008,Action Epic,9.1,movie,0
The Dark Knight,tt0468569,movie,Amazon Prime Video with Ads,Other,flatrate,hd,IN,9.1,2008,Action Epic,9.1,movie,0
The Dark Knight,tt0468569,movie,Apple TV Store,Other,rent,hd,IN,9.1,2008,Action Epic,9.1,movie,0
The Dark Knight,tt0468569,movie,Amazon Video,Other,rent,hd,IN,9.1,2008,Action Epic,9.1,movie,0
The Godfather Part II,tt0071562,movie,Amazon Prime Video,Amazon Prime Video,flatrate,hd,IN,9.0,1974,Epic,9.0,movie,0
The Godfather Part II,tt0071562,movie,JioHotstar,Other,flatrate,hd,IN,9.0,1974,Epic,9.0,movie,0
The Godfather Part II,tt0071562,movie,Amazon Prime Video with Ads,Other,flatrate,hd,IN,9.0,1974,Epic,9.0,movie,0
The Godfather Part II,tt0071562,movie,Apple TV Store,Other,rent,hd,IN,9.0,1974,Epic,9.0,movie,0
The Godfather Part II,tt0071562,movie,Google Play Movies,Other,rent,hd,IN,9.0,1974,Epic,9.0,movie,0
The Godfather Part II,tt0071562,movie,YouTube,Other,rent,hd,IN,9.0,1974,Epic,9.0,movie,0
The Godfather Part II,tt0071562,movie,Amazon Video,Other,rent,hd,IN,9.0,1974,Epic,9.0,movie,0
12 Angry Men,tt0050083,movie,MGM Plus Amazon Channel,Other,flatrate,hd,IN,9.0,1957,Legal Drama,9.0,movie,0
12 Angry Men,tt0050083,movie,Amazon Video,Other,rent,hd,IN,9.0,1957,Legal Drama,9.0,movie,0
The Lord of the Rings: The Return of the King,tt0167260,movie,Amazon Prime Video,Amazon Prime Video,flatrate,hd,IN,9.0,2003,Action Epic,9.0,movie,0
The Lord of the Rings: The Return of the King,tt0167260,movie,JioHotstar,Other,flatrate,hd,IN,9.0,2003,Action Epic,9.0,movie,0
The Lord of the Rings: The Return of the King,tt0167260,movie,VI movies and tv,Other,flatrate,hd,IN,9.0,2003,Action Epic,9.0,movie,0
The Lord of the Rings: The Return of the King,tt0167260,movie,Amazon Prime Video with Ads,Other,flatrate,hd,IN,9.0,2003,Action Epic,9.0,movie,0
The Lord of the Rings: The Return of the King,tt0167260,movie,Apple TV Store,Other,rent,hd,IN,9.0,2003,Action Epic,9.0,movie,0
The Lord of the Rings: The Return of the King,tt0167260,movie,Google Play Movies,Other,rent,hd,IN,9.0,2003,Action Epic,9.0,movie,0
The Lord of the Rings: The Return of the King,tt0167260,movie,YouTube,Other,rent,hd,IN,9.0,2003,Action Epic,9.0,movie,0
The Lord of the Rings: The Return of the King,tt0167260,movie,Amazon Video,Other,rent,hd,IN,9.0,2003,Action Epic,9.0,movie,0
Schindler's List,tt0108052,movie,Amazon Prime Video,Amazon Prime Video,flatrate,hd,IN,9.0,1993,Docudrama,9.0,movie,0
Schindler's List,tt0108052,movie,JioHotstar,Other,flatrate,hd,IN,9.0,1993,Docudrama,9.0,movie,0
Schindler's List,tt0108052,movie,Amazon Prime Video with Ads,Other,flatrate,hd,IN,9.0,1993,Docudrama,9.0,movie,0
Schindler's List,tt0108052,movie,ZEE5,Other,rent,hd,IN,9.0,1993,Docudrama,9.0,movie,0
Schindler's List,tt0108052,movie,Amazon Video,Other,rent,hd,IN,9.0,1993,Docudrama,9.0,movie,0
The Lord of the Rings: The Fellowship of the Ring,tt0120737,movie,JioHotstar,Other,flatrate,hd,IN,8.9,2001,Action Epic,8.493,movie,0
The Lord of the Rings: The Fellowship of the Ring,tt0120737,movie,VI movies and tv,Other,flatrate,hd,IN,8.9,2001,Action Epic,8.493,movie,0
The Lord of the Rings: The Fellowship of the Ring,tt0120737,movie,Apple TV Store,Other,rent,hd,IN,8.9,2001,Action Epic,8.493,movie,0
The Lord of the Rings: The Fellowship of the Ring,tt0120737,movie,Google Play Movies,Other,rent,hd,IN,8.9,2001,Action Epic,8.493,movie,0
The Lord of the Rings: The Fellowship of the Ring,tt0120737,movie,YouTube,Other,rent,hd,IN,8.9,2001,Action Epic,8.493,movie,0
The Lord of the Rings: The Fellowship of the Ring,tt0120737,movie,Amazon Video,Other,rent,hd,IN,8.9,2001,Action Epic,8.493,movie,0
