imdb_id,title,content_type,year,decade,era,is_recent,imdb_rating,votes,vote_weighted_score,popularity_tier,runtime_min,runtime_category,genres,genre_primary,certificate,plot,rank,platform,source
tt0111161,The Shawshank Redemption,movie,1994,1990s,1990s,0,9.3,9,9.3,High,142.0,Epic (2h+),Period Drama|Prison Drama|Drama|Authentic emotion|Character development|Emotional weight|Enduring legacy|Friendship|Inspirational|Performance|Cinematography|Narration,Period Drama,R,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",1,,
tt0068646,The Godfather,movie,1972,1970s,Pre-1990,0,9.2,9,9.2,High,175.0,Epic (2h+),Epic|Gangster|Psychological Drama|Tragedy|Crime|Drama|Atmospheric|Authentic emotion|Character development|Cinematography|Direction|Enduring legacy|Family dynamics|Iconic lines|Iconic performance|Narrative complexity,Epic,R,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,2,,
tt0468569,The Dark Knight,movie,2008,2000s,2000s,0,9.1,9,9.1,High,152.0,Epic (2h+),Action Epic|Epic|Psychological Drama|Psychological Thriller|Superhero|Tragedy|Action|Crime|Drama|Thriller|Action sequences|Cinematography|Direction|Standout performance|Adaptation|Dark tone|Philosophical elements|Character development|Pacing,Action Epic,PG-13,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",3,,
tt0071562,The Godfather Part II,movie,1974,1970s,Pre-1990,0,9.0,9,9.0,High,202.0,Epic (2h+),Epic|Gangster|Tragedy|Crime|Drama|Atmospheric|Cinematography|Production design|Character development|Duality|Family dynamics|Inner conflict|Legacy|Morality|Narrative complexity,Epic,R,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",4,,
tt0050083,12 Angry Men,movie,1957,1950s,Pre-1990,0,9.0,9,9.0,High,96.0,Long (1.5–2h),Legal Drama|Psychological Drama|Crime|Drama|Authentic emotion|Direction|Dramatic tension|Great ensemble|Morality|Social commentary|Suspenseful|Thought-provoking|Writing,Legal Drama,APPROVED,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,5,,
tt0167260,The Lord of the Rings: The Return of the King,movie,2003,2000s,2000s,0,9.0,9,9.0,High,201.0,Epic (2h+),Action Epic|Adventure Epic|Epic|Fantasy Epic|Mountain Adventure|Quest|Sword & Sorcery|Tragedy|Adventure|Drama|Action sequences|Atmospheric|Authentic emotion|Character development|Cinematography|Enduring legacy|Epic|Iconic ending|Adaptation,Action Epic,PG-13,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,6,,
tt0108052,Schindler's List,movie,1993,1990s,1990s,0,9.0,9,9.0,High,195.0,Epic (2h+),Docudrama|Epic|Historical Epic|Period Drama|Prison Drama|Psychological Drama|Tragedy|Biography|Drama|History|Atmospheric|Authentic emotion|Character development|Cinematography|Direction|Historical accuracy|Musical score|Performance|Symbolism,Docudrama,R,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",7,,
tt0120737,The Lord of the Rings: The Fellowship of the Ring,movie,2001,2000s,2000s,0,8.9,8,8.493,Medium,178.0,Epic (2h+),Action Epic|Adventure Epic|Dark Fantasy|Epic|Fantasy Epic|Quest|Sword & Sorcery|Adventure|Drama|Fantasy|Adaptation|Ambitious|Authentic emotion|Character development|Cinematography|Epic|Friendship|Production design|Special effects|Worldbuilding,Action Epic,PG-13,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,8,,
tt0110912,Pulp Fiction,movie,1994,1990s,1990s,0,8.8,8,8.397,Medium,154.0,Epic (2h+),Dark Comedy|Drug Crime|Gangster|Crime|Drama|Atmospheric|Authentic emotion|Cinematography|Comedic brilliance|Dark humor|Genre blending|Iconic soundtrack|Non-linear structure,Dark Comedy,R,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",9,,
tt0060196,"The Good, the Bad and the Ugly",movie,1966,1960s,Pre-1990,0,8.8,8,8.397,Medium,178.0,Epic (2h+),Action Epic|Adventure Epic|Dark Comedy|Desert Adventure|Epic|Period Drama|Quest|Spaghetti Western|Western Epic|Adventure|Action sequences|Atmospheric|Cinematography|Direction|Dramatic tension|Great ensemble|Iconic scene|Iconic score|Thin story,Action Epic,R,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,10,,
tt0167261,The Lord of the Rings: The Two Towers,movie,2002,2000s,2000s,0,8.8,8,8.397,Medium,179.0,Epic (2h+),Action Epic|Adventure Epic|Dark Fantasy|Epic|Fantasy Epic|Quest|Sword & Sorcery|Adventure|Drama|Fantasy|Action sequences|Character development|Cinematography|Creature design|Dramatic tension|Epic|Friendship|Worldbuilding|Adaptation,Action Epic,PG-13,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",11,,
tt0109830,Forrest Gump,movie,1994,1990s,1990s,0,8.8,8,8.397,Medium,142.0,Epic (2h+),Epic|Period Drama|Romantic Epic|Tragic Romance|Drama|Romance|Comedic brilliance|Friendship|Heartfelt|Inspirational|Nostalgic|Personal growth|Adaptation,Epic,PG-13,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",12,,
tt0137523,Fight Club,movie,1999,1990s,1990s,0,8.8,8,8.397,Medium,139.0,Epic (2h+),Dark Comedy|Psychological Drama|Psychological Thriller|Workplace Drama|Crime|Drama|Thriller|Allegorical elements|Cinematography|Direction|Performance|Psychological depth|Social commentary|Sound design|Thought-provoking|Narrative complexity,Dark Comedy,R,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,13,,
tt1375666,Inception,movie,2010,2010s,2010–2014,0,8.8,8,8.397,Medium,148.0,Epic (2h+),Action Epic|Adventure Epic|Epic|Psychological Thriller|Sci-Fi Epic|Action|Adventure|Sci-Fi|Thriller|Dreamlike|Iconic ending|Special effects|Thought-provoking|Ambitious|Character development|Narrative complexity|Confusing|Pacing,Action Epic,PG-13,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO, but his tragic past may doom the project and his team to disaster.",14,,
