rank,imdb_id,title,year,imdb_rating,votes,content_type,runtime_min,genres,certificate,plot
1,tt0111161,The Shawshank Redemption,1994,9.3,9,movie,142,Period Drama|Prison Drama|Drama|Authentic emotion|Character development|Emotional weight|Enduring legacy|Friendship|Inspirational|Performance|Cinematography|Narration,R,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion."
2,tt0068646,The Godfather,1972,9.2,9,movie,175,Epic|Gangster|Psychological Drama|Tragedy|Crime|Drama|Atmospheric|Authentic emotion|Character development|Cinematography|Direction|Enduring legacy|Family dynamics|Iconic lines|Iconic performance|Narrative complexity,R,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
3,tt0468569,The Dark Knight,2008,9.1,9,movie,152,Action Epic|Epic|Psychological Drama|Psychological Thriller|Superhero|Tragedy|Action|Crime|Drama|Thriller|Action sequences|Cinematography|Direction|Standout performance|Adaptation|Dark tone|Philosophical elements|Character development|Pacing,PG-13,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
4,tt0071562,The Godfather Part II,1974,9.0,9,movie,202,Epic|Gangster|Tragedy|Crime|Drama|Atmospheric|Cinematography|Production design|Character development|Duality|Family dynamics|Inner conflict|Legacy|Morality|Narrative complexity,R,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
5,tt0050083,12 Angry Men,1957,9.0,9,movie,96,Legal Drama|Psychological Drama|Crime|Drama|Authentic emotion|Direction|Dramatic tension|Great ensemble|Morality|Social commentary|Suspenseful|Thought-provoking|Writing,Approved,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
6,tt0167260,The Lord of the Rings: The Return of the King,2003,9.0,9,movie,201,Action Epic|Adventure Epic|Epic|Fantasy Epic|Mountain Adventure|Quest|Sword & Sorcery|Tragedy|Adventure|Drama|Action sequences|Atmospheric|Authentic emotion|Character development|Cinematography|Enduring legacy|Epic|Iconic ending|Adaptation,PG-13,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
7,tt0108052,Schindler's List,1993,9.0,9,movie,195,Docudrama|Epic|Historical Epic|Period Drama|Prison Drama|Psychological Drama|Tragedy|Biography|Drama|History|Atmospheric|Authentic emotion|Character development|Cinematography|Direction|Historical accuracy|Musical score|Performance|Symbolism,R,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
8,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,8,movie,178,Action Epic|Adventure Epic|Dark Fantasy|Epic|Fantasy Epic|Quest|Sword & Sorcery|Adventure|Drama|Fantasy|Adaptation|Ambitious|Authentic emotion|Character development|Cinematography|Epic|Friendship|Production design|Special effects|Worldbuilding,PG-13,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
9,tt0110912,Pulp Fiction,1994,8.8,8,movie,154,Dark Comedy|Drug Crime|Gangster|Crime|Drama|Atmospheric|Authentic emotion|Cinematography|Comedic brilliance|Dark humor|Genre blending|Iconic soundtrack|Non-linear structure,R,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
10,tt0060196,"The Good, the Bad and the Ugly",1966,8.8,8,movie,178,Action Epic|Adventure Epic|Dark Comedy|Desert Adventure|Epic|Period Drama|Quest|Spaghetti Western|Western Epic|Adventure|Action sequences|Atmospheric|Cinematography|Direction|Dramatic tension|Great ensemble|Iconic scene|Iconic score|Thin story,R,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
11,tt0167261,The Lord of the Rings: The Two Towers,2002,8.8,8,movie,179,Action Epic|Adventure Epic|Dark Fantasy|Epic|Fantasy Epic|Quest|Sword & Sorcery|Adventure|Drama|Fantasy|Action sequences|Character development|Cinematography|Creature design|Dramatic tension|Epic|Friendship|Worldbuilding|Adaptation,PG-13,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
12,tt0109830,Forrest Gump,1994,8.8,8,movie,142,Epic|Period Drama|Romantic Epic|Tragic Romance|Drama|Romance|Comedic brilliance|Friendship|Heartfelt|Inspirational|Nostalgic|Personal growth|Adaptation,PG-13,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
13,tt0137523,Fight Club,1999,8.8,8,movie,139,Dark Comedy|Psychological Drama|Psychological Thriller|Workplace Drama|Crime|Drama|Thriller|Allegorical elements|Cinematography|Direction|Performance|Psychological depth|Social commentary|Sound design|Thought-provoking|Narrative complexity,R,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
