title,imdb_id,content_type,platform,platform_group,monetization,presentation,region
The Shawshank Redemption,tt0111161,movie,Apple TV Store,Apple TV Store,rent,hd,IN
The Shawshank Redemption,tt0111161,movie,Google Play Movies,Google Play Movies,rent,hd,IN
The Shawshank Redemption,tt0111161,movie,YouTube,YouTube,rent,hd,IN
The Shawshank Redemption,tt0111161,movie,Amazon Video,Amazon Video,rent,hd,IN
The Godfather,tt0068646,movie,Amazon Prime Video,Amazon Prime Video,flatrate,hd,IN
The Godfather,tt0068646,movie,JioHotstar,JioHotstar,flatrate,hd,IN
The Godfather,tt0068646,movie,Amazon Prime Video with Ads,Amazon Prime Video with Ads,flatrate,hd,IN
The Godfather,tt0068646,movie,Apple TV Store,Apple TV Store,rent,hd,IN
The Godfather,tt0068646,movie,Google Play Movies,Google Play Movies,rent,hd,IN
The Godfather,tt0068646,movie,YouTube,YouTube,rent,hd,IN
The Godfather,tt0068646,movie,Amazon Video,Amazon Video,rent,hd,IN
The Dark Knight,tt0468569,movie,Amazon Prime Video,Amazon Prime Video,flatrate,hd,IN
The Dark Knight,tt0468569,movie,JioHotstar,JioHotstar,flatrate,hd,IN
The Dark Knight,tt0468569,movie,Amazon Prime Video with Ads,Amazon Prime Video with Ads,flatrate,hd,IN
The Dark Knight,tt0468569,movie,Apple TV Store,Apple TV Store,rent,hd,IN
The Dark Knight,tt0468569,movie,Amazon Video,Amazon Video,rent,hd,IN
The Godfather Part II,tt0071562,movie,Amazon Prime Video,Amazon Prime Video,flatrate,hd,IN
The Godfather Part II,tt0071562,movie,JioHotstar,JioHotstar,flatrate,hd,IN
The Godfather Part II,tt0071562,movie,Amazon Prime Video with Ads,Amazon Prime Video with Ads,flatrate,hd,IN
The Godfather Part II,tt0071562,movie,Apple TV Store,Apple TV Store,rent,hd,IN
The Godfather Part II,tt0071562,movie,Google Play Movies,Google Play Movies,rent,hd,IN
The Godfather Part II,tt0071562,movie,YouTube,YouTube,rent,hd,IN
The Godfather Part II,tt0071562,movie,Amazon Video,Amazon Video,rent,hd,IN
12 Angry Men,tt0050083,movie,MGM Plus Amazon Channel,MGM Plus Amazon Channel,flatrate,hd,IN
12 Angry Men,tt0050083,movie,Amazon Video,Amazon Video,rent,hd,IN
The Lord of the Rings: The Return of the King,tt0167260,movie,Amazon Prime Video,Amazon Prime Video,flatrate,hd,IN
The Lord of the Rings: The Return of the King,tt0167260,movie,JioHotstar,JioHotstar,flatrate,hd,IN
The Lord of the Rings: The Return of the King,tt0167260,movie,VI movies and tv,VI movies and tv,flatrate,hd,IN
The Lord of the Rings: The Return of the King,tt0167260,movie,Amazon Prime Video with Ads,Amazon Prime Video with Ads,flatrate,hd,IN
The Lord of the Rings: The Return of the King,tt0167260,movie,Apple TV Store,Apple TV Store,rent,hd,IN
The Lord of the Rings: The Return of the King,tt0167260,movie,Google Play Movies,Google Play Movies,rent,hd,IN
The Lord of the Rings: The Return of the King,tt0167260,movie,YouTube,YouTube,rent,hd,IN
The Lord of the Rings: The Return of the King,tt0167260,movie,Amazon Video,Amazon Video,rent,hd,IN
Schindler's List,tt0108052,movie,Amazon Prime Video,Amazon Prime Video,flatrate,hd,IN
Schindler's List,tt0108052,movie,JioHotstar,JioHotstar,flatrate,hd,IN
Schindler's List,tt0108052,movie,Amazon Prime Video with Ads,Amazon Prime Video with Ads,flatrate,hd,IN
Schindler's List,tt0108052,movie,ZEE5,ZEE5,rent,hd,IN
Schindler's List,tt0108052,movie,Amazon Video,Amazon Video,rent,hd,IN
The Lord of the Rings: The Fellowship of the Ring,tt0120737,movie,JioHotstar,JioHotstar,flatrate,hd,IN
The Lord of the Rings: The Fellowship of the Ring,tt0120737,movie,VI movies and tv,VI movies and tv,flatrate,hd,IN
The Lord of the Rings: The Fellowship of the Ring,tt0120737,movie,Apple TV Store,Apple TV Store,rent,hd,IN
The Lord of the Rings: The Fellowship of the Ring,tt0120737,movie,Google Play Movies,Google Play Movies,rent,hd,IN
